var1,var2,group,type,spatial
FA_abundances_5,I(FA_abundances_5^2),functional properties,macrohabitat,functional properties
FA_abundances_6,I(FA_abundances_6^2),functional properties,macrohabitat,functional properties
FA_abundances_7,I(FA_abundances_7^2),functional properties,macrohabitat,functional properties
FA_abundances_8,I(FA_abundances_8^2),functional properties,macrohabitat,functional properties
FA_traits_1,I(FA_traits_1^2),functional properties,microhabitat,functional properties
FA_traits_2,I(FA_traits_2^2),functional properties,microhabitat,functional properties
FA_traits_3,I(FA_traits_3^2),functional properties,microhabitat,functional properties
FA_traits_4,I(FA_traits_4^2),functional properties,macrohabitat,functional properties
FA_traits_5,I(FA_traits_5^2),functional properties,microhabitat,functional properties
FA_traits_6,I(FA_traits_6^2),functional properties,macrohabitat,functional properties
FA_traits_7,I(FA_traits_7^2),functional properties,microhabitat,functional properties
FA_taxonomic_1,I(FA_taxonomic_1^2),taxonomic properties,microhabitat,taxonomic properties
FA_taxonomic_2,I(FA_taxonomic_2^2),taxonomic properties,macrohabitat,taxonomic properties
FA_taxonomic_3,I(FA_taxonomic_3^2),taxonomic properties,macrohabitat,taxonomic properties
FA_taxonomic_4,I(FA_taxonomic_4^2),taxonomic properties,macrohabitat,taxonomic properties
FA_soil_1,I(FA_soil_1^2),soil,microhabitat,soil
FA_soil_2,I(FA_soil_2^2),soil,microhabitat,soil
FA_soil_3,I(FA_soil_3^2),soil,macrohabitat,soil
FA_soil_4,I(FA_soil_4^2),soil,microhabitat,soil
FA_soil_5,I(FA_soil_5^2),soil,macrohabitat,soil
FA_soil_6,I(FA_soil_6^2),soil,microhabitat,soil
FA_landscape_1,I(FA_landscape_1^2),landscape,landscape,landscape
FA_landscape_2,I(FA_landscape_2^2),landscape,landscape,landscape
FA_landscape_3,I(FA_landscape_3^2),landscape,landscape,landscape
FA_landscape_4,I(FA_landscape_4^2),landscape,landscape,landscape
FA_landscape_5,I(FA_landscape_5^2),landscape,landscape,landscape
