var1,var2,group,type,spatial
tree_large_disp_abund,I(tree_large_disp_abund^2),functional properties,macrohabitat,tree
tree_w_nuts_abund,I(tree_w_nuts_abund^2),functional properties,macrohabitat,tree
tree_w_nuts_e_abund,I(tree_w_nuts_e_abund^2),functional properties,macrohabitat,tree
tree_w_berries_abund,I(tree_w_berries_abund^2),functional properties,macrohabitat,tree
tree_evergreen_abund,I(tree_evergreen_abund^2),functional properties,macrohabitat,tree
tree_pr_padus_abund,I(tree_pr_padus_abund^2),functional properties,macrohabitat,tree
all_total_abund,I(all_total_abund^2),structural properties,macrohabitat,all
shrub_tree_total_abund,I(shrub_tree_total_abund^2),structural properties,macrohabitat,all
ratio_herb_tree_abund,I(ratio_herb_tree_abund^2),structural properties,macrohabitat,all
lg_ratio_herb_shrub_abund,I(lg_ratio_herb_shrub_abund^2),structural properties,macrohabitat,all
lg_ratio_shrub_tree_abund,I(lg_ratio_shrub_tree_abund^2),structural properties,macrohabitat,all
all_small_disp_abund,I(all_small_disp_abund^2),functional properties,macrohabitat,all
all_medium_disp_abund,I(all_medium_disp_abund^2),functional properties,macrohabitat,all
all_medium_large_disp_abund,I(all_medium_large_disp_abund^2),functional properties,macrohabitat,all
all_large_disp_abund,I(all_large_disp_abund^2),functional properties,macrohabitat,all
all_w_nuts_abund,I(all_w_nuts_abund^2),functional properties,macrohabitat,all
all_w_nuts_e_abund,I(all_w_nuts_e_abund^2),functional properties,macrohabitat,all
all_w_berries_abund,I(all_w_berries_abund^2),functional properties,macrohabitat,all
all_evergreen_abund,I(all_evergreen_abund^2),functional properties,macrohabitat,all
all_pr_padus_abund,I(all_pr_padus_abund^2),functional properties,macrohabitat,all
lg_herb_weight_disp,I(lg_herb_weight_disp^2),functional properties,microhabitat,herb
herb_small_disp_alpha,I(herb_small_disp_alpha^2),functional properties,microhabitat,herb
herb_medium_disp_alpha,I(herb_medium_disp_alpha^2),functional properties,microhabitat,herb
herb_medium_large_disp_alpha,I(herb_medium_large_disp_alpha^2),functional properties,microhabitat,herb
herb_large_disp_alpha,I(herb_large_disp_alpha^2),functional properties,microhabitat,herb
herb_sla,I(herb_sla^2),functional properties,microhabitat,herb
lg_herb_chamaephyte,I(lg_herb_chamaephyte^2),functional properties,microhabitat,herb
lg_herb_geophyte,I(lg_herb_geophyte^2),functional properties,microhabitat,herb
herb_hemicryptophyte,I(herb_hemicryptophyte^2),functional properties,microhabitat,herb
herb_phanerophyte,I(herb_phanerophyte^2),functional properties,microhabitat,herb
lg_herb_therophyte,I(lg_herb_therophyte^2),functional properties,microhabitat,herb
herb_perennial,I(herb_perennial^2),functional properties,microhabitat,herb
bn_herb_fern,I(bn_herb_fern^2),functional properties,microhabitat,herb
herb_forb,I(herb_forb^2),functional properties,microhabitat,herb
lg_herb_grass,I(lg_herb_grass^2),functional properties,microhabitat,herb
herb_asc_to_pros,I(herb_asc_to_pros^2),functional properties,microhabitat,herb
herb_erect,I(herb_erect^2),functional properties,microhabitat,herb
bn_herb_prostrate,I(bn_herb_prostrate^2),functional properties,microhabitat,herb
herb_regular,I(herb_regular^2),functional properties,microhabitat,herb
herb_rosette,I(herb_rosette^2),functional properties,microhabitat,herb
herb_semi_rosette,I(herb_semi_rosette^2),functional properties,microhabitat,herb
herb_wo_branching,I(herb_wo_branching^2),functional properties,microhabitat,herb
herb_w_branching,I(herb_w_branching^2),functional properties,microhabitat,herb
lg_shrub_weight_disp,I(lg_shrub_weight_disp^2),functional properties,macrohabitat,shrub
shrub_small_disp_alpha,I(shrub_small_disp_alpha^2),functional properties,macrohabitat,shrub
shrub_medium_disp_alpha,I(shrub_medium_disp_alpha^2),functional properties,macrohabitat,shrub
shrub_medium_large_disp_alpha,I(shrub_medium_large_disp_alpha^2),functional properties,macrohabitat,shrub
shrub_large_disp_alpha,I(shrub_large_disp_alpha^2),functional properties,macrohabitat,shrub
shrub_sla,I(shrub_sla^2),functional properties,macrohabitat,shrub
lg_tree_weight_disp,I(lg_tree_weight_disp^2),functional properties,macrohabitat,tree
tree_small_disp_alpha,I(tree_small_disp_alpha^2),functional properties,macrohabitat,tree
tree_medium_disp_alpha,I(tree_medium_disp_alpha^2),functional properties,macrohabitat,tree
tree_medium_large_disp_alpha,I(tree_medium_large_disp_alpha^2),functional properties,macrohabitat,tree
tree_large_disp_alpha,I(tree_large_disp_alpha^2),functional properties,macrohabitat,tree
tree_sla,I(tree_sla^2),functional properties,macrohabitat,tree
lg_all_weight_disp,I(lg_all_weight_disp^2),functional properties,macrohabitat,all
all_small_disp_alpha,I(all_small_disp_alpha^2),functional properties,macrohabitat,all
all_medium_disp_alpha,I(all_medium_disp_alpha^2),functional properties,macrohabitat,all
all_medium_large_disp_alpha,I(all_medium_large_disp_alpha^2),functional properties,macrohabitat,all
all_large_disp_alpha,I(all_large_disp_alpha^2),functional properties,macrohabitat,all
all_sla,I(all_sla^2),functional properties,macrohabitat,all
rich_tree_total_mean,I(rich_tree_total_mean^2),taxonomic properties,macrohabitat,tree
rich_tree_small_mean,I(rich_tree_small_mean^2),taxonomic properties,macrohabitat,tree
rich_tree_large_mean,I(rich_tree_large_mean^2),taxonomic properties,macrohabitat,tree
rich_tree_short_mean,I(rich_tree_short_mean^2),taxonomic properties,macrohabitat,tree
rich_tree_tall_mean,I(rich_tree_tall_mean^2),taxonomic properties,macrohabitat,tree
rich_tree_sgof_mean,I(rich_tree_sgof_mean^2),taxonomic properties,macrohabitat,tree
rich_tree_total_patch,I(rich_tree_total_patch^2),taxonomic properties,macrohabitat,tree
rich_tree_small_patch,I(rich_tree_small_patch^2),taxonomic properties,macrohabitat,tree
rich_tree_large_patch,I(rich_tree_large_patch^2),taxonomic properties,macrohabitat,tree
rich_tree_short_patch,I(rich_tree_short_patch^2),taxonomic properties,macrohabitat,tree
rich_tree_tall_patch,I(rich_tree_tall_patch^2),taxonomic properties,macrohabitat,tree
